Date,Close/Last,Volume,Open,High,Low
12/21/2022,3878.44,--,3839.49,3889.82,3839.49
12/20/2022,3821.62,--,3810.47,3838.24,3795.62
12/19/2022,3817.66,--,3853.79,3854.86,3800.04
12/16/2022,3852.36,--,3890.91,3890.91,3827.91
12/15/2022,3895.75,--,3958.37,3958.37,3879.45
12/14/2022,3995.32,--,4015.54,4053.76,3965.65
12/13/2022,4019.65,--,4069.38,4100.96,3993.03
12/12/2022,3990.56,--,3939.29,3990.71,3935.3
12/09/2022,3934.38,--,3954.17,3977.02,3933.04
12/08/2022,3963.51,--,3947.79,3974.19,3935.83
12/07/2022,3933.92,--,3933.28,3957.57,3922.68
12/06/2022,3941.26,--,3996.63,4001.51,3918.39
12/05/2022,3998.84,--,4052.02,4052.45,3984.49
12/02/2022,4071.7,--,4040.17,4080.48,4026.63
12/01/2022,4076.57,--,4087.14,4100.51,4050.87
11/30/2022,4080.11,--,3957.18,4080.11,3938.58
11/29/2022,3957.63,--,3964.19,3976.77,3937.65
11/28/2022,3963.94,--,4005.36,4012.27,3955.77
11/25/2022,4026.12,--,4023.34,4034.02,4020.76
11/23/2022,4027.26,--,4000.3,4033.78,3998.66
11/22/2022,4003.58,--,3965.51,4005.88,3956.88
