Date,Open,High,Low,Close,Volume
2018-02-07,85.2169,86.4221,84.0009,84.3891,43625580.960184
2018-02-08,84.4804,84.6372,79.8204,80.0576,58676518.62341
2018-02-09,81.2708,83.7447,78.9447,83.0408,67401075.972398
2018-02-12,83.565,84.5458,82.8045,83.9522,37921579.35449
2018-02-13,83.7447,84.7543,82.6825,84.5945,27949358.564272
2018-02-14,83.7407,86.0916,83.6494,85.9189,36941622.685119
2018-02-15,86.2961,87.7258,85.7372,87.6681,29090523.523449
2018-02-16,87.4706,88.4633,86.857,87.0427,32321698.025301
2018-02-20,86.5483,88.0464,86.1114,87.7258,32622474.042448
2018-02-21,87.9729,88.3314,86.5602,86.5602,28207218.094525
2018-02-22,87.0914,87.7355,86.4401,86.7906,24961661.543199
2018-02-23,87.7545,89.0044,87.3852,88.9955,27803407.656687
2018-02-26,89.3171,90.3099,89.1712,90.2801,31888153.470752
2018-02-27,90.5859,90.6763,89.1235,89.1235,27341782.951335
2018-02-28,89.7321,90.5512,88.5884,88.7166,32941619.959878
2018-03-01,88.928,89.4779,86.8937,87.8498,39249597.133348
2018-03-02,86.6456,88.1327,85.9655,88.0374,34699342.513724
2018-03-05,87.3663,89.1899,87.2899,88.5963,25262236.102867
2018-03-06,89.2586,89.4005,87.9352,88.2936,23438188.710278
2018-03-07,88.1417,88.8803,87.4516,88.8048,28237010.633906
2018-03-08,89.1899,89.9793,88.7126,89.3439,27361557.010253
2018-03-09,90.156,91.3404,89.882,91.3404,39040004.800649
2018-03-12,91.3017,91.9727,90.8668,91.5578,27558057.628634
2018-03-13,91.7762,92.0026,88.908,89.3261,37402358.962986
2018-03-14,89.9982,90.2701,88.4633,88.795,33961176.11874
2018-03-15,88.4931,89.4868,87.8309,89.1066,29182823.282335
2018-03-16,89.5791,90.2414,88.8624,89.5058,51875355.408534
2018-03-19,88.6907,88.8426,87.1469,87.8865,35242281.501595
2018-03-20,88.0374,88.7166,87.9917,88.1139,24388858.498541
2018-03-21,87.9252,88.9855,87.2452,87.4993,25849364.788905
2018-03-22,86.3507,86.8104,84.8297,84.953,40802387.065999
2018-03-23,84.6799,85.5883,82.3886,82.4848,46577686.488323
2018-03-26,85.7282,88.9379,85.5297,88.7264,59607310.602154
2018-03-27,89.8265,90.015,83.7407,84.6511,59789345.566209
2018-03-28,84.9817,86.316,84.0862,84.5757,55489905.508774
2018-03-29,85.3222,87.3186,83.6395,86.3557,48478676.536122
2018-04-02,85.5982,85.9844,82.7957,83.7507,51277281.537627
2018-04-03,84.7504,85.2001,83.1561,84.8774,39332328.669237
2018-04-04,83.1194,87.7645,83.0051,87.3583,37584298.234738
2018-04-05,87.4556,88.0514,86.4798,87.405,31466722.554455
2018-04-06,86.5602,87.4805,84.66,85.3709,40190729.924524
